candidate,family,fold,repeat,split,validation_samples,validation_fail,selected_features,removed_high_missing,removed_uninformative,removed_duplicate,threshold,pr_auc_average_precision,fail_recall,precision,f1,balanced_accuracy,false_alarm_rate,accuracy,tn,fp,fn,tp
random_forest_depth_none_leaf_8,random_forest,5,1,0,235,16,444,24,122,0,0.5,0.3564593137796634,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_none_leaf_8,random_forest,6,1,1,235,16,444,24,122,0,0.5,0.1906567393081826,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_none_leaf_8,random_forest,7,1,2,235,16,444,24,122,0,0.5,0.15083075249075042,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_none_leaf_8,random_forest,8,1,3,235,16,444,24,122,0,0.5,0.3139772109793048,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_none_leaf_8,random_forest,9,1,4,235,16,444,24,122,0,0.5,0.14816934291927955,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_none_leaf_8,random_forest,10,2,0,235,16,444,24,122,0,0.5,0.18310050987857757,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_none_leaf_8,random_forest,11,2,1,235,16,444,24,122,0,0.5,0.24974864926279233,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_none_leaf_8,random_forest,12,2,2,235,16,444,24,122,0,0.5,0.29120264212542885,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_none_leaf_8,random_forest,13,2,3,235,16,444,24,122,0,0.5,0.13232339932373596,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_none_leaf_8,random_forest,14,2,4,235,16,444,24,122,0,0.5,0.18822220323934052,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
